token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
10528,768AS32-SG,768AS32,,-1.000000,100,,NSE,1.000000
10558,782PN42-SG,782PN42,,-1.000000,100,,NSE,1.000000
10578,MPSLTD-EQ,MPSLTD,,-1.000000,1,,NSE,10.000000
10583,HDF100INAV-EQ,HDF100INAV,,-1.000000,1,,NSE,1.000000
10585,MOM30IETF-EQ,MOM30IETF,,-1.000000,1,,NSE,1.000000
10599,GUJGASLTD-EQ,GUJGASLTD,,-1.000000,1,,NSE,5.000000
10633,HDFCNIF100-EQ,HDFCNIF100,,-1.000000,1,,NSE,1.000000
10643,796AP40-SG,796AP40,,-1.000000,100,,NSE,1.000000
10693,MOMENTUM-EQ,MOMENTUM,,-1.000000,1,,NSE,1.000000
10710,VEEKAYEM-SM,VEEKAYEM,,-1.000000,500,,NSE,5.000000
10717,TEAMGTY-EQ,TEAMGTY,,-1.000000,1,,NSE,5.000000
10719,774AP38-SG,774AP38,,-1.000000,100,,NSE,1.000000
10726,INDIAMART-EQ,INDIAMART,,-1.000000,1,,NSE,10.000000
1075,65GJ30-SG,65GJ30,,-1.000000,100,,NSE,1.000000
10738,OFSS-EQ,OFSS,,-1.000000,1,,NSE,50.000000
10761,SILVERADD-EQ,SILVERADD,,-1.000000,1,,NSE,1.000000
1083,661RJ30-SG,661RJ30,,-1.000000,100,,NSE,1.000000
10852,761TN32-SG,761TN32,,-1.000000,100,,NSE,1.000000
10871,GRMOVER-EQ,GRMOVER,,-1.000000,1,,NSE,1.000000
1095,679MP40-SG,679MP40,,-1.000000,100,,NSE,1.000000
10940,DIVISLAB-EQ,DIVISLAB,,-1.000000,1,,NSE,50.000000
10960,75HP36-SG,75HP36,,-1.000000,100,,NSE,1.000000
10980,MEGAFLEX-ST,MEGAFLEX,,-1.000000,3000,,NSE,5.000000
11212,SHK-EQ,SHK,,-1.000000,1,,NSE,1.000000
11260,HDFCVALUE-EQ,HDFCVALUE,,-1.000000,1,,NSE,1.000000
11284,767HR32-SG,767HR32,,-1.000000,100,,NSE,1.000000
11297,SIL-EQ,SIL,,-1.000000,1,,NSE,1.000000
11364,VAIBHAVGBL-EQ,VAIBHAVGBL,,-1.000000,1,,NSE,1.000000
11374,TIPSFILMS-EQ,TIPSFILMS,,-1.000000,1,,NSE,5.000000
11377,MAHABANK-EQ,MAHABANK,,-1.000000,1,,NSE,1.000000
11390,776MH30-SG,776MH30,,-1.000000,100,,NSE,1.000000
11412,782AP35-SG,782AP35,,-1.000000,100,,NSE,1.000000
11417,774AP42-SG,774AP42,,-1.000000,100,,NSE,1.000000
11483,LT-EQ,LT,,-1.000000,1,,NSE,10.000000
